opcode_1,opcode_2
ADD,ADD
ADD,ASSIGN
ADD,ASSIGN_DIM
ADD,ASSIGN_DIM_OP
ADD,ASSIGN_OBJ
ADD,ASSIGN_OBJ_OP
ADD,ASSIGN_OP
ADD,BEGIN_SILENCE
ADD,BOOL
ADD,BOOL_NOT
ADD,BW_AND
ADD,BW_XOR
ADD,CAST
ADD,CHECK_FUNC_ARG
ADD,CONCAT
ADD,COUNT
ADD,DIV
ADD,DO_FCALL
ADD,ECHO
ADD,END_SILENCE
ADD,FETCH_CONSTANT
ADD,FETCH_DIM_IS
ADD,FETCH_DIM_R
ADD,FETCH_DIM_RW
ADD,FETCH_DIM_UNSET
ADD,FETCH_DIM_W
ADD,FETCH_IS
ADD,FETCH_LIST_R
ADD,FETCH_OBJ_IS
ADD,FETCH_OBJ_R
ADD,FETCH_OBJ_RW
ADD,FETCH_OBJ_W
ADD,FETCH_R
ADD,FETCH_RW
ADD,FETCH_UNSET
ADD,FETCH_W
ADD,FE_FREE
ADD,FE_RESET_R
ADD,FREE
ADD,INIT_ARRAY
ADD,INIT_FCALL
ADD,IN_ARRAY
ADD,IS_EQUAL
ADD,IS_IDENTICAL
ADD,IS_NOT_EQUAL
ADD,IS_SMALLER
ADD,JMPNZ
ADD,JMPNZ_EX
ADD,JMPZ
ADD,JMPZ_EX
ADD,JMP_FRAMELESS
ADD,MOD
ADD,MUL
ADD,NOP
ADD,OP_DATA
ADD,POST_INC
ADD,PRE_DEC
ADD,PRE_INC
ADD,QM_ASSIGN
ADD,RETURN
ADD,ROPE_INIT
ADD,SEND_FUNC_ARG
ADD,SEND_VAL
ADD,SEND_VAL_EX
ADD,SEND_VAR
ADD,SEND_VAR_EX
ADD,SL
ADD,SR
ADD,STRLEN
ADD,SUB
ADD,TYPE_CHECK
ADD,UNSET_DIM
ASSERT_CHECK,BOOL_NOT
ASSERT_CHECK,INIT_FCALL
ASSERT_CHECK,SEND_VAR_EX
ASSIGN,ADD
ASSIGN,ASSERT_CHECK
ASSIGN,ASSIGN
ASSIGN,ASSIGN_DIM
ASSIGN,ASSIGN_DIM_OP
ASSIGN,ASSIGN_OBJ
ASSIGN,ASSIGN_OBJ_OP
ASSIGN,ASSIGN_OBJ_REF
ASSIGN,ASSIGN_OP
ASSIGN,ASSIGN_REF
ASSIGN,BEGIN_SILENCE
ASSIGN,BIND_GLOBAL
ASSIGN,BIND_LEXICAL
ASSIGN,BIND_STATIC
ASSIGN,BOOL
ASSIGN,BOOL_NOT
ASSIGN,BW_AND
ASSIGN,BW_NOT
ASSIGN,BW_OR
ASSIGN,BW_XOR
ASSIGN,CASE
