ngram,idf
ADD ADD,5.967917564411102
ADD ASSIGN,4.194388532444492
ADD ASSIGN_DIM,6.262617209521529
ADD ASSIGN_DIM_OP,10.525297086562844
ADD ASSIGN_OBJ,6.989180387001318
ADD ASSIGN_OBJ_OP,8.851320652991173
ADD ASSIGN_OP,6.703928449402829
ADD BEGIN_SILENCE,10.93076219467101
ADD BOOL,8.57938693750753
ADD BOOL_NOT,8.57938693750753
ADD BW_AND,7.333449934082563
ADD BW_XOR,9.226014102432584
ADD CAST,7.049198396727571
ADD CHECK_FUNC_ARG,8.790696031174738
ADD CONCAT,5.220335177296139
ADD COUNT,7.5985576844958045
ADD DIV,6.244012021690494
ADD DO_FCALL,8.25661354524448
ADD ECHO,7.306421261694644
ADD END_SILENCE,9.058960017769417
ADD FAST_CALL,10.525297086562844
ADD FETCH_CONSTANT,9.139002725442953
ADD FETCH_DIM_IS,9.832149906002899
ADD FETCH_DIM_R,4.9595003548805465
ADD FETCH_DIM_RW,10.93076219467101
ADD FETCH_DIM_UNSET,10.93076219467101
ADD FETCH_DIM_W,8.25661354524448
ADD FETCH_IS,10.014471462796854
ADD FETCH_LIST_R,10.237615014111064
ADD FETCH_OBJ_IS,9.226014102432584
ADD FETCH_OBJ_R,6.787627468279476
ADD FETCH_OBJ_RW,10.525297086562844
ADD FETCH_OBJ_W,6.305789381386738
ADD FETCH_R,6.989180387001318
ADD FETCH_RW,9.832149906002899
ADD FETCH_UNSET,9.832149906002899
ADD FETCH_W,7.361229498189639
ADD FE_FREE,9.321324282236908
ADD FE_RESET_R,8.2227119935688
ADD FREE,10.014471462796854
ADD INIT_ARRAY,7.513035511057643
ADD INIT_FCALL,7.146572560752747
ADD IN_ARRAY,7.28010395337727
ADD IS_EQUAL,7.018739189242862
ADD IS_IDENTICAL,9.544467833551119
ADD IS_NOT_EQUAL,7.08061459296095
ADD IS_SMALLER,5.393427927652472
ADD JMPNZ,8.097548850614793
ADD JMPNZ_EX,10.014471462796854
ADD JMPZ,6.836417632448908
ADD JMPZ_EX,8.984852045615696
ADD JMP_FRAMELESS,9.832149906002899
ADD MOD,7.28010395337727
ADD MUL,6.586956772817325
ADD NOP,10.93076219467101
ADD OP_DATA,6.172870921665253
ADD POST_INC,10.525297086562844
ADD PRE_DEC,10.014471462796854
ADD PRE_INC,10.014471462796854
ADD QM_ASSIGN,6.168588259873252
ADD RETURN,5.497040191116769
ADD ROPE_INIT,10.93076219467101
ADD SEND_FUNC_ARG,7.692083742506628
ADD SEND_VAL,4.64383343466919
ADD SEND_VAL_EX,5.125627225754521
ADD SEND_VAR,9.544467833551119
ADD SEND_VAR_EX,8.73353761733479
ADD SL,9.226014102432584
ADD SR,8.127401813764475
ADD STRLEN,6.574053367981417
ADD SUB,5.9003242732785735
ADD TYPE_CHECK,10.93076219467101
ADD UNSET_DIM,7.580858107396404
ASSERT_CHECK BOOL_NOT,10.93076219467101
ASSERT_CHECK FETCH_OBJ_R,10.93076219467101
ASSERT_CHECK INIT_FCALL,6.90541050393586
ASSERT_CHECK INSTANCEOF,10.525297086562844
ASSERT_CHECK IS_IDENTICAL,10.93076219467101
ASSERT_CHECK SEND_VAL_EX,10.525297086562844
ASSERT_CHECK SEND_VAR_EX,9.832149906002899
ASSIGN ADD,4.659773762812709
ASSIGN ASSERT_CHECK,8.851320652991173
ASSIGN ASSIGN,2.553981156971516
ASSIGN ASSIGN_DIM,4.166877286108574
ASSIGN ASSIGN_DIM_OP,7.563466364684535
ASSIGN ASSIGN_OBJ,4.368318100977289
ASSIGN ASSIGN_OBJ_OP,7.910337308526646
ASSIGN ASSIGN_OBJ_REF,9.832149906002899
ASSIGN ASSIGN_OP,4.402804277048459
ASSIGN ASSIGN_REF,8.291704865055749
ASSIGN BEGIN_SILENCE,3.5912244992633338
ASSIGN BIND_GLOBAL,6.010781268842884
ASSIGN BIND_LEXICAL,6.586956772817325
ASSIGN BIND_STATIC,7.217190127966701
ASSIGN BOOL,4.949347983416528
ASSIGN BOOL_NOT,3.1726423339308836
ASSIGN BW_AND,4.356383947402782
ASSIGN BW_NOT,8.44585554488301
ASSIGN BW_OR,7.028789525096364
ASSIGN BW_XOR,6.828118829634213
ASSIGN CASE,7.404401670054847
ASSIGN CAST,4.736356803566336
ASSIGN CHECK_FUNC_ARG,3.6531689852238585
ASSIGN CLONE,7.752708364323063
ASSIGN COALESCE,9.426684797894735
ASSIGN CONCAT,3.2918416679414055
ASSIGN COUNT,4.132263901625821
ASSIGN DECLARE_CLASS,8.097548850614793
ASSIGN DECLARE_CONST,10.93076219467101
ASSIGN DEFINED,6.803627809625917
ASSIGN DIV,6.453425380192802
ASSIGN DO_FCALL,3.057735561593095
ASSIGN ECHO,3.408632416294322
ASSIGN END_SILENCE,5.178189555845376
ASSIGN FAST_CALL,10.237615014111064
ASSIGN FAST_RET,10.93076219467101
ASSIGN FETCH_CLASS,6.291190581965585
ASSIGN FETCH_CONSTANT,4.341148195625362
ASSIGN FETCH_DIM_IS,5.85871827244611
ASSIGN FETCH_DIM_R,3.1894458314137126
ASSIGN FETCH_DIM_RW,8.127401813764475
ASSIGN FETCH_DIM_UNSET,6.7335602470092
ASSIGN FETCH_DIM_W,5.843165859438624
ASSIGN FETCH_GLOBALS,9.677999226175642
ASSIGN FETCH_IS,3.955815666148548
ASSIGN FETCH_LIST_R,4.170347503587581
ASSIGN FETCH_OBJ_IS,5.294188469708257
ASSIGN FETCH_OBJ_R,3.2891977534100367
ASSIGN FETCH_OBJ_RW,8.790696031174738
ASSIGN FETCH_OBJ_UNSET,7.63492532866668
ASSIGN FETCH_OBJ_W,5.260881271690489
ASSIGN FETCH_R,3.579603968240315
ASSIGN FETCH_RW,7.347243256214899
ASSIGN FETCH_THIS,5.768837453028527
ASSIGN FETCH_UNSET,7.480774648839422
ASSIGN FETCH_W,5.125627225754521
ASSIGN FE_FREE,7.404401670054847
ASSIGN FE_RESET_R,3.119801423363372
ASSIGN FE_RESET_RW,7.028789525096364
ASSIGN FREE,4.182588985513337
ASSIGN FUNC_GET_ARGS,7.773761773520896
ASSIGN FUNC_NUM_ARGS,7.935029921117017
ASSIGN GET_CLASS,8.158173472431226
ASSIGN GET_TYPE,9.321324282236908
ASSIGN INCLUDE_OR_EVAL,5.812768382254253
ASSIGN INFILE,8.628177101676963
ASSIGN INIT_ARRAY,4.091285756442166
ASSIGN INIT_FCALL,2.5504201860039686
ASSIGN INIT_USER_CALL,7.910337308526646
ASSIGN INSTANCEOF,5.312174566078039
ASSIGN IN_ARRAY,7.146572560752747
ASSIGN IS_EQUAL,3.4965048125378733
ASSIGN IS_IDENTICAL,4.848543284294562
ASSIGN IS_NOT_EQUAL,4.233727947004525
